,id,title,is_succeeded,start_date,close_date,expected_return,expected_risk,expert_id,symbol_id,should_buy,profit
121,13535,,0,2018-01-13,2018-04-17,77.91,-31.0,82,0,0,-40.69
122,13614,,0,2017-12-16,2018-04-09,75.55,-30.99,82,0,0,-34.32
123,13881,,0,2017-08-26,2018-03-12,34.73,-12.45,82,0,0,-12.45
124,14158,,1,2017-04-16,2019-05-25,24.78,-6.72,82,0,0,19.85
125,14331,,1,2017-04-14,2019-05-25,18.34,-7.68,58,0,0,24.12
126,14570,,1,2016-09-11,2016-10-04,6.69,-6.12,8,0,0,6.69
127,14824,,1,2017-05-28,2019-05-25,41.92,-11.71,43,0,0,27.69
128,14965,,1,2017-05-13,2019-05-25,25.63,-10.33,34,0,0,26.58
129,15082,,0,2017-08-08,2018-03-11,70.14,-10.53,32,0,0,-10.53
130,15090,,1,2017-02-03,2017-04-26,37.88,-3.77,32,0,0,32.86
131,15223,,0,2017-07-03,2017-09-12,21.35,-9.23,52,0,0,-9.23
132,15300,,0,2017-04-18,2017-05-14,23.26,-6.22,52,0,0,-6.22
133,15453,,1,2017-05-29,2019-05-25,37.08,-8.96,28,0,0,31.66
134,15679,,1,2017-12-24,2019-05-25,16.39,-3.54,0,0,0,36.65
135,15686,,1,2017-10-02,2017-11-18,20.07,-11.39,0,0,0,11.61
136,16628,,1,2017-09-13,2017-11-07,31.63,-16.11,29,0,0,31.63
137,16850,,0,2017-01-01,2018-03-26,50.33,-11.79,14,0,0,-11.06
138,10,,1,2019-06-22,2019-09-28,103.37,-21.52,49,1,0,103.37
139,13,,1,2019-06-15,2019-09-28,102.0,-22.05,49,1,0,102.0
140,101,,1,2019-07-02,2019-09-16,40.22,-10.12,69,1,0,44.5
141,353,,1,2019-03-05,2019-09-11,81.72,-11.9,64,1,0,81.72
142,422,,0,2018-11-12,2019-03-06,58.47,-21.47,64,1,0,-21.47
143,431,,0,2018-10-17,2019-02-06,60.82,-12.79,64,1,0,-12.79
144,456,,0,2018-09-29,2018-10-09,41.85,-15.28,64,1,0,-15.28
145,710,,1,2018-12-01,2019-05-25,39.85,-8.57,61,1,0,1.57
146,992,,1,2018-08-27,2018-10-07,92.38,-28.09,70,1,0,27.95
147,1121,,1,2019-06-11,2019-08-17,19.81,-15.21,76,1,0,19.81
148,1135,,1,2019-05-21,2019-06-30,17.34,-10.45,76,1,0,17.34
149,1506,,1,2017-02-10,2017-02-19,8.45,-6.47,76,1,0,3.26
150,1713,,0,2018-10-10,2019-05-25,188.63,-28.75,68,1,0,-8.75
151,1714,,0,2018-10-03,2019-05-25,137.48,-29.57,68,1,0,-25.04
152,1715,,0,2018-10-02,2019-05-25,98.65,-27.02,68,1,0,-28.34
153,1727,,1,2018-05-05,2018-06-19,41.58,-15.44,68,1,0,11.92
154,1747,,1,2018-04-21,2018-05-14,26.65,-19.06,68,1,0,3.09
155,1754,,1,2018-04-11,2018-06-26,64.87,-27.33,68,1,0,18.77
156,1756,,1,2018-04-11,2018-07-04,19.53,-20.79,68,1,0,20.36
157,1764,,1,2018-04-07,2018-06-28,58.36,-30.22,68,1,0,12.6
158,1770,,1,2018-03-26,2018-07-04,35.56,-24.25,68,1,0,15.12
159,1772,,1,2018-03-25,2018-06-26,33.43,-25.45,68,1,0,8.28
160,1774,,1,2018-03-14,2018-05-26,58.36,-30.22,68,1,0,4.66
161,1777,,1,2018-03-04,2018-09-11,111.04,-30.98,68,1,0,23.28
162,1779,,1,2018-02-24,2018-09-11,99.0,-31.03,68,1,0,21.2
163,1785,,1,2018-02-14,2018-09-11,107.87,-31.0,68,1,0,21.42
164,1812,,1,2018-01-20,2018-09-11,63.09,-30.93,68,1,0,19.29
165,1833,,1,2018-01-08,2018-06-28,75.82,-31.01,68,1,0,12.5
166,1857,,1,2017-12-31,2018-06-28,75.98,-31.04,68,1,0,12.6
167,2498,,1,2018-08-26,2018-10-01,48.31,-26.34,77,1,0,48.31
168,3149,,0,2018-11-28,2019-02-13,59.58,-12.36,75,1,0,-12.36
169,3169,,0,2018-11-04,2019-02-12,47.76,-13.22,75,1,0,-13.22
170,3184,,0,2018-09-23,2019-02-06,91.48,-24.12,75,1,0,-24.12
171,3254,,1,2018-03-11,2018-10-06,80.23,-24.73,75,1,0,80.23
172,3353,,1,2017-11-04,2018-09-22,62.31,-23.43,75,1,0,62.31
173,3565,,1,2017-04-19,2018-10-02,44.15,-15.66,75,1,0,44.15
174,3897,,1,2018-06-09,2018-09-22,42.78,-21.94,83,1,0,42.78
175,3898,,1,2018-06-09,2018-09-22,42.78,-21.94,83,1,0,42.78
176,4820,,1,2017-10-02,2018-10-06,73.66,-27.18,83,1,0,73.66
177,4857,,1,2017-09-16,2018-10-06,80.05,-26.19,83,1,0,80.05
178,4879,,1,2017-09-06,2018-10-06,76.14,-24.14,83,1,0,76.14
179,5263,,0,2018-11-13,2019-05-25,40.28,-23.45,7,1,0,-10.84
180,5273,,0,2018-09-23,2019-02-06,42.71,-26.46,79,1,0,-26.46
181,5309,,0,2018-09-09,2019-05-25,112.08,-30.37,79,1,0,-4.12
182,5403,,1,2018-07-24,2019-05-25,78.31,-27.79,79,1,0,11.55
183,5417,,1,2018-07-10,2019-05-25,71.3,-30.65,79,1,0,7.15
184,5539,,1,2018-05-20,2018-08-27,26.1,-21.56,79,1,0,26.1
185,5878,,1,2018-03-27,2018-08-27,20.48,-27.14,79,1,0,20.48
186,5923,,1,2018-03-19,2018-09-09,22.13,-25.17,79,1,0,22.13
187,6068,,1,2019-08-14,2019-09-24,53.36,-27.17,50,1,0,47.65
188,6381,,1,2018-06-09,2018-09-22,42.78,-21.94,81,1,0,42.78
189,6382,,1,2018-06-09,2018-09-22,42.78,-21.94,81,1,0,42.78
190,7407,,1,2019-07-20,2019-08-25,21.83,-13.58,54,1,0,21.83
191,7410,,1,2019-05-13,2019-08-17,36.09,-8.25,54,1,0,36.09
192,7722,,1,2018-06-09,2018-09-22,42.1,-21.5,80,1,0,42.1
193,7723,,1,2018-06-09,2018-09-22,41.28,-21.5,80,1,0,41.28
194,7724,,1,2018-06-09,2018-09-22,41.28,-21.5,80,1,0,41.28
195,8328,,1,2017-09-18,2018-09-17,37.3,-24.28,74,1,0,37.3
196,8372,,1,2017-08-26,2018-09-17,37.3,-24.28,74,1,0,37.3
197,8544,,0,2017-06-10,2018-08-14,21.75,-5.85,74,1,0,-5.85
198,8595,,0,2017-05-18,2019-05-25,10.88,-5.8,74,1,0,-1.0
199,8739,,1,2017-08-27,2018-09-09,21.93,-24.21,62,1,0,21.93
200,8795,,0,2018-09-23,2019-03-06,39.05,-31.16,78,1,0,-31.16
201,8879,,1,2018-07-10,2019-05-25,71.3,-30.65,78,1,0,7.15
202,9193,,1,2017-12-31,2019-05-25,8.09,-28.27,78,1,0,28.72
203,9493,,1,2017-07-31,2019-05-25,130.38,-21.68,78,1,0,11.29
204,9532,,0,2017-06-18,2017-06-19,3.51,-3.28,78,1,0,-3.28
205,9915,,1,2018-06-09,2018-09-18,40.79,-21.58,84,1,0,40.79
206,9916,,1,2018-06-09,2018-09-22,41.28,-21.5,84,1,0,41.28
207,9917,,1,2018-06-09,2018-09-22,41.28,-21.5,84,1,0,41.28
208,10852,,1,2017-10-02,2018-09-22,54.4,-15.61,84,1,0,54.4
209,10877,,1,2017-09-23,2019-05-25,80.53,-26.94,84,1,0,19.26
210,10900,,1,2017-09-13,2018-10-06,71.64,-22.59,84,1,0,71.64
211,10923,,1,2017-09-05,2018-10-06,68.55,-23.99,84,1,0,68.55
212,11211,,0,2017-05-21,2019-05-25,36.96,-13.03,84,1,0,-2.39
213,11264,,0,2017-05-02,2019-05-25,23.35,-6.91,84,1,0,-2.16
214,11313,,1,2017-04-15,2017-05-23,18.18,-5.64,84,1,0,6.33
215,11591,,0,2016-11-26,2016-12-18,9.46,-7.97,84,1,0,-7.97
216,11800,,1,2017-11-18,2018-09-17,43.12,-16.85,71,1,0,43.12
217,11923,,1,2017-08-09,2018-09-16,28.12,-17.68,71,1,0,28.12
218,12001,,1,2017-07-03,2017-07-08,8.04,-19.82,71,1,0,3.77
219,12180,,1,2018-01-09,2018-01-27,61.01,-30.97,67,1,0,13.85
220,12217,,1,2017-12-26,2018-01-02,72.41,-30.96,67,1,0,13.45
221,12404,,1,2017-10-03,2018-09-17,42.42,-21.44,73,1,0,42.42
222,12476,,1,2017-08-20,2018-09-16,32.58,-17.04,73,1,0,32.58
223,12499,,1,2017-08-07,2018-09-16,26.62,-18.02,73,1,0,26.62
224,12639,,1,2017-10-25,2018-01-23,24.0,-28.46,42,1,0,8.77
225,12899,,1,2018-06-09,2018-09-22,41.7,-21.94,82,1,0,41.7
226,12900,,1,2018-06-09,2018-09-22,42.51,-21.94,82,1,0,42.51
227,12901,,1,2018-06-09,2018-09-22,42.51,-21.94,82,1,0,42.51
228,13804,,1,2017-10-04,2018-09-22,57.72,-13.79,82,1,0,57.72
229,13841,,1,2017-09-16,2019-05-25,85.11,-25.75,82,1,0,22.3
230,14153,,1,2017-04-18,2019-05-25,19.92,-5.94,82,1,0,2.0
231,14582,,0,2017-06-03,2017-06-07,6.74,-3.73,40,1,0,-3.73
232,14828,,1,2019-07-03,2019-10-01,22.79,-11.24,31,1,0,81.11
233,15512,,1,2018-02-12,2018-07-07,15.88,-13.85,59,1,0,15.88
234,15547,,1,2017-05-02,2018-12-11,82.29,-17.7,59,1,0,3.83
235,16561,,0,2017-06-11,2017-09-11,35.33,-7.37,45,1,0,-7.37
236,16602,,1,2017-02-10,2017-05-17,41.24,-15.65,45,1,0,24.53
237,16694,,1,2017-11-21,2019-05-25,149.51,-17.87,4,1,0,28.85
238,16698,,1,2017-08-26,2018-10-06,66.81,-24.78,4,1,0,66.81
239,16699,,0,2017-05-21,2017-06-06,14.83,-7.23,4,1,0,-7.23
240,16724,,0,2017-11-12,2017-12-24,23.33,-5.67,26,1,0,-5.67
241,16725,,1,2017-10-02,2018-08-27,23.91,-17.81,26,1,0,23.91
242,20,,1,2019-02-18,2019-04-08,9.21,-6.99,49,2,0,11.35
243,269,,0,2018-09-26,2019-05-22,47.71,-3.28,69,2,0,-16.05
244,318,,0,2019-09-14,2019-10-16,57.33,-6.83,64,2,0,-6.83
