"id","title","is_succeeded","start_date","close_date","expected_return","expected_risk","expert_id","symbol_id","should_buy","profit"
16562,"",1,"2017-06-06","2017-11-25",37.2,-14.01,126,76,0,37.2
16571,"",0,"2017-05-06","2017-06-03",29.71,-9.26,126,76,0,-6.4
16604,"",1,"2017-02-10","2017-04-12",212.31,-16.85,126,76,0,26.42
16646,"",1,"2017-04-09","2018-08-02",37.78,-20.57,127,76,0,37.78
16786,"",1,"2017-10-03","2018-08-02",39.63,-30.67,133,76,0,39.63
147,"",1,"2019-03-19","2019-05-20",49.17,-16.35,9,91,0,20.7
331,"",0,"2019-05-15","2019-07-16",37.72,-8.51,10,91,0,-8.51
470,"",0,"2017-11-11","2018-04-22",26.7,-11.57,10,91,0,-11.57
982,"",1,"2018-09-04","2018-09-12",21.69,-29.42,13,91,0,28.24
1035,"",1,"2018-08-07","2018-08-25",20.31,-23.01,13,91,0,1.88
1098,"",0,"2019-07-16","2019-07-27",12.85,-11.24,16,91,0,-11.24
1105,"",0,"2019-07-14","2019-07-27",14.1,-10.25,16,91,0,-10.25
1118,"",0,"2019-06-12","2019-07-16",15.56,-11.76,16,91,0,-11.76
1130,"",0,"2019-05-25","2019-07-16",13.36,-9.62,16,91,0,-9.62
1132,"",0,"2019-05-22","2019-07-16",12.64,-10.19,16,91,0,-10.19
1221,"",1,"2017-12-26","2019-05-14",24.6,-10.95,16,91,0,254.48
1249,"",1,"2017-11-28","2017-12-23",20.77,-8.74,16,91,0,10.43
1367,"",1,"2017-05-17","2017-09-18",21.65,-13.39,16,91,0,13.14
1945,"",0,"2019-06-19","2019-07-27",59.71,-11.83,19,91,0,-11.83
1985,"",1,"2019-02-03","2019-05-20",52.3,-22.46,19,91,0,40.5
2090,"",0,"2018-01-01","2018-04-24",53.62,-14.44,19,91,0,-14.44
2095,"",0,"2017-12-23","2017-12-30",27.68,-15.24,19,91,0,-15.24
2261,"",1,"2017-10-22","2018-07-02",120.83,-31.03,20,91,0,34.67
2264,"",1,"2017-10-10","2018-07-02",133.83,-30.98,20,91,0,43.3
2296,"",1,"2017-09-19","2018-07-02",142.81,-30.98,20,91,0,22.3
2316,"",1,"2017-09-09","2018-07-02",132.33,-30.98,20,91,0,29.69
2504,"",1,"2018-08-08","2018-09-16",109.58,-30.42,21,91,0,38.89
2590,"",1,"2018-04-24","2018-05-13",14.33,-6.02,21,91,0,0.89
2608,"",1,"2017-12-13","2018-07-02",68.23,-31.04,21,91,0,27.39
2629,"",1,"2017-10-07","2018-07-02",134.35,-30.95,21,91,0,36.44
2661,"",1,"2017-09-17","2018-07-02",134.48,-30.95,21,91,0,26.6
2677,"",1,"2017-09-09","2018-07-02",184.52,-31.0,21,91,0,29.1
2807,"",1,"2017-06-14","2017-07-18",20.91,-5.1,21,91,0,5.57
2860,"",1,"2017-05-26","2017-08-30",21.54,-5.41,21,91,0,10.88
3086,"",1,"2016-09-14","2016-09-25",83.47,-16.61,21,91,0,12.5
3163,"",1,"2018-11-14","2018-11-27",55.59,-19.61,22,91,0,55.59
3519,"",1,"2017-05-06","2017-08-30",20.95,-9.53,22,91,0,11.19
3939,"",1,"2018-05-06","2018-06-19",49.78,-29.87,23,91,0,49.78
3940,"",1,"2018-05-06","2018-06-19",49.78,-29.87,23,91,0,49.78
4031,"",1,"2018-04-28","2018-06-19",49.74,-28.32,23,91,0,49.74
4032,"",1,"2018-04-28","2018-06-19",49.74,-28.32,23,91,0,49.74
4217,"",1,"2018-04-03","2018-08-02",60.74,-30.97,23,91,0,60.74
4224,"",1,"2018-04-03","2018-08-02",59.51,-30.97,23,91,0,59.51
4375,"",1,"2018-03-05","2018-06-24",51.9,-26.88,23,91,0,51.9
4449,"",1,"2018-02-10","2018-06-23",38.1,-22.56,23,91,0,38.1
4673,"",1,"2017-11-25","2018-08-12",113.63,-30.95,23,91,0,113.63
4703,"",1,"2017-11-13","2018-08-08",107.21,-31.04,23,91,0,107.21
